Module Code,MC,Module Name,Year,Semester
MA4132,5,Y4S2 Math,4,2
CS4132,4,Data Analytics,4,2
CS4133V,4,SoC Precursor Module,4,2
CS4134V,4,DigiPen Precursor Module,4,2
CS4232,4,Data Analytics,4,2
BL4232,2,Y4S2 BO,4,2
CM4132,4,Y4S2 Chem,4,2
CM4232,2,Y4S2 Chem O,4,2
CM4234,2,Y4S2 Chemistry of Minerals and Gems,4,2
PC4132,4,Y4S2 Physics,4,2
PC4232,2,Y4S2 PO,4,2
EN4132,3,Y4S2 Lit,4,2
CL4232,3,Y4S2 3rd Lang Chinese,4,2
CL4234,2,Appreciation of Chinese Language and Culture II,4,2
FR4232,3,Y4S2 3rd Lang French,4,2
JP4232,3,Y4S2 3rd Lang Japanese,4,2
ML4232,3,Y4S2 3rd Lang Malay,4,2
EC4132,4,Y4S2 Econs,4,2
GE4132,4,Y4S2 Geography,4,2
HY4132,4,Y4S2 History,4,2
MU4132,4,Y4S2 Music,4,2
AR4132,4,Y4S2 Art,4,2
